descricao_projeto,tipo_projeto,departamento,duracao_meses,orcamento,complexidade,recursos_disponiveis,metodologia,risco,entregas,tamanho_equipe,data_inicio,sucesso
Análise de dados financeiros,Pesquisa,Marketing,2,921839.52,Média,0,Waterfall,Baixo,3,22,2023-11-03,0
Automatização de processos,Infraestrutura,Operações,20,391211.83,Alta,2,Waterfall,Baixo,3,18,2024-11-17,0
Pesquisa de satisfação do cliente,Infraestrutura,TI,22,863415.59,Média,2,Scrum,Baixo,4,15,2022-05-15,1
Pesquisa de satisfação do cliente,Construção,Financeiro,4,907721.55,Média,2,XP,Alto,4,33,2023-07-21,1
Migração de banco de dados,Marketing,Marketing,29,524526.68,Baixa,2,Kanban,Alto,4,39,2022-08-21,1
Campanha de marketing digital,Marketing,RH,24,474591.14,Alta,1,XP,Médio,10,5,2021-08-22,0
Pesquisa de satisfação do cliente,Pesquisa,TI,1,772969.57,Média,1,Scrum,Médio,10,40,2022-08-25,1
Desenvolvimento de aplicativo móvel,Pesquisa,RH,24,722572.93,Baixa,2,Scrum,Alto,3,37,2021-11-10,1
Integração de sistemas,Construção,TI,30,362108.36,Média,1,Kanban,Baixo,1,5,2022-07-20,0
Implementação de CRM,Marketing,Marketing,12,147420.72,Média,1,Waterfall,Baixo,9,37,2023-11-02,0
Construção de dashboard de vendas,Infraestrutura,TI,19,301609.78,Alta,1,Kanban,Baixo,2,7,2021-07-28,0
Pesquisa de satisfação do cliente,Software,TI,4,174477.08,Alta,1,Scrum,Alto,3,2,2023-11-04,0
Análise de dados financeiros,Construção,Marketing,15,329995.66,Média,2,Kanban,Médio,2,30,2024-12-12,0
Automatização de processos,Software,RH,20,298730.49,Média,1,XP,Médio,6,11,2024-11-01,0
Análise de dados financeiros,Infraestrutura,RH,20,655825.85,Baixa,1,Scrum,Baixo,6,37,2023-11-10,1
Treinamento de equipe,Infraestrutura,Operações,21,956771.23,Média,1,Waterfall,Médio,1,39,2022-08-10,1
Implementação de CRM,Software,RH,10,701456.55,Média,1,Waterfall,Alto,4,33,2023-10-12,1
Desenvolvimento de aplicativo móvel,Construção,RH,30,930316.94,Média,2,Kanban,Baixo,10,9,2023-12-30,1
Campanha de marketing digital,Software,TI,24,794925.65,Média,0,Kanban,Médio,5,11,2024-05-19,1
Implementação de CRM,Construção,Operações,3,741483.74,Alta,0,Kanban,Baixo,6,12,2024-01-30,0
Construção de dashboard de vendas,Construção,Marketing,29,443358.84,Baixa,0,XP,Médio,5,10,2022-11-29,0
Integração de sistemas,Pesquisa,Marketing,8,358554.78,Baixa,2,Waterfall,Médio,3,11,2021-05-12,0
Pesquisa de satisfação do cliente,Marketing,Financeiro,29,853963.5,Média,1,Scrum,Baixo,3,33,2024-11-05,1
Campanha de marketing digital,Marketing,Operações,10,910123.57,Alta,2,Scrum,Médio,3,20,2024-03-01,0
Campanha de marketing digital,Infraestrutura,TI,5,479288.37,Alta,1,Waterfall,Baixo,6,5,2023-11-10,0
Pesquisa de satisfação do cliente,Pesquisa,Financeiro,11,58609.94,Média,1,Kanban,Alto,4,24,2022-06-20,0
Pesquisa de satisfação do cliente,Marketing,Financeiro,4,802904.51,Alta,2,Agile,Alto,4,32,2023-10-11,0
Pesquisa de satisfação do cliente,Construção,Marketing,35,320815.4,Média,0,Kanban,Médio,3,31,2021-08-15,0
Pesquisa de satisfação do cliente,Construção,RH,12,59393.47,Baixa,1,Waterfall,Baixo,4,14,2024-03-23,0
Pesquisa de satisfação do cliente,Software,TI,21,814739.13,Média,1,XP,Médio,8,19,2023-04-02,1
Campanha de marketing digital,Software,Operações,16,541543.48,Baixa,1,Kanban,Médio,3,24,2023-05-21,1
Migração de banco de dados,Construção,Financeiro,14,700950.21,Baixa,1,Scrum,Baixo,10,32,2022-02-09,1
Migração de banco de dados,Construção,TI,21,918955.33,Média,0,XP,Baixo,3,12,2021-07-21,1
Análise de dados financeiros,Software,Marketing,27,564115.14,Média,0,Waterfall,Alto,6,21,2021-02-07,0
Migração de banco de dados,Marketing,Financeiro,36,528034.37,Média,1,Agile,Médio,1,36,2023-07-31,1
Construção de dashboard de vendas,Infraestrutura,Financeiro,1,326129.02,Baixa,2,Kanban,Alto,10,25,2021-07-07,0
Migração de banco de dados,Software,Marketing,1,339934.14,Baixa,0,XP,Médio,6,14,2023-12-17,0
Campanha de marketing digital,Marketing,Marketing,22,806714.96,Baixa,1,XP,Médio,9,8,2023-07-30,1
Pesquisa de satisfação do cliente,Marketing,Marketing,15,476577.78,Média,0,Scrum,Médio,3,29,2023-11-10,0
Automatização de processos,Marketing,TI,20,205349.9,Média,1,Kanban,Baixo,2,25,2021-09-30,0
Automatização de processos,Pesquisa,TI,3,139802.33,Alta,1,Agile,Alto,3,23,2024-02-17,0
Construção de dashboard de vendas,Pesquisa,TI,14,499274.11,Alta,2,XP,Alto,3,36,2022-08-06,0
Treinamento de equipe,Marketing,RH,9,491707.27,Média,2,Scrum,Alto,2,12,2022-05-31,0
Campanha de marketing digital,Construção,Financeiro,19,670785.36,Média,1,Kanban,Médio,4,12,2024-05-29,0
Desenvolvimento de aplicativo móvel,Pesquisa,TI,34,497514.1,Baixa,0,Kanban,Médio,8,18,2022-06-10,1
Implementação de CRM,Software,RH,4,186301.92,Baixa,0,Agile,Médio,7,36,2021-12-02,0
Análise de dados financeiros,Pesquisa,Financeiro,33,532412.74,Média,2,Scrum,Alto,10,19,2022-11-29,1
Desenvolvimento de aplicativo móvel,Construção,TI,2,911449.93,Média,1,Agile,Médio,9,35,2023-12-15,1
Campanha de marketing digital,Infraestrutura,Marketing,27,201469.34,Alta,0,XP,Baixo,8,27,2022-05-15,0
Migração de banco de dados,Pesquisa,Operações,17,705266.91,Média,0,Waterfall,Médio,7,3,2023-06-19,0
Pesquisa de satisfação do cliente,Marketing,TI,31,614166.3,Baixa,1,Waterfall,Alto,6,13,2023-02-05,1
Desenvolvimento de aplicativo móvel,Marketing,Operações,6,761156.44,Alta,1,Agile,Baixo,3,38,2022-06-20,1
Implementação de CRM,Marketing,TI,31,193070.26,Média,2,Agile,Médio,10,19,2021-06-11,0
Treinamento de equipe,Infraestrutura,Marketing,3,944525.07,Alta,1,Waterfall,Baixo,4,35,2022-08-17,1
Automatização de processos,Construção,Operações,3,639918.11,Média,1,XP,Alto,8,15,2021-06-08,0
Treinamento de equipe,Software,RH,33,854717.58,Baixa,1,Agile,Médio,2,16,2024-04-26,1
Implementação de CRM,Construção,Marketing,13,284276.43,Baixa,1,XP,Médio,6,35,2021-03-01,0
Pesquisa de satisfação do cliente,Infraestrutura,Operações,21,752442.24,Baixa,1,XP,Médio,1,5,2023-07-04,1
Migração de banco de dados,Marketing,Operações,16,791979.17,Baixa,2,Scrum,Alto,7,7,2024-09-04,1
Implementação de CRM,Construção,Marketing,21,427563.51,Baixa,1,XP,Alto,4,21,2021-07-30,1
Análise de dados financeiros,Software,Marketing,13,414755.78,Média,1,Kanban,Alto,1,1,2022-02-10,0
Implementação de CRM,Marketing,Marketing,4,674906.45,Alta,2,Waterfall,Baixo,5,25,2022-10-26,0
Campanha de marketing digital,Software,Financeiro,31,138737.3,Alta,0,Waterfall,Baixo,5,30,2024-02-07,0
Migração de banco de dados,Pesquisa,RH,9,748842.94,Média,1,Agile,Alto,6,19,2024-01-05,1
Pesquisa de satisfação do cliente,Software,TI,33,90742.42,Baixa,1,Agile,Alto,8,24,2022-06-26,0
Automatização de processos,Marketing,Operações,24,231060.79,Média,2,Scrum,Baixo,4,15,2024-08-30,0
Automatização de processos,Pesquisa,TI,25,680936.57,Média,0,Scrum,Baixo,7,35,2023-09-25,1
Implementação de CRM,Marketing,Marketing,29,143407.48,Baixa,1,Kanban,Baixo,4,24,2024-02-15,0
Campanha de marketing digital,Marketing,RH,36,973249.99,Alta,0,Agile,Baixo,2,36,2023-07-16,1
Desenvolvimento de aplicativo móvel,Pesquisa,RH,15,874976.4,Alta,0,Waterfall,Médio,8,14,2023-05-18,0
Treinamento de equipe,Software,Financeiro,18,644987.22,Média,2,Kanban,Baixo,5,22,2021-01-19,1
Treinamento de equipe,Infraestrutura,Marketing,20,828104.58,Média,1,Agile,Baixo,10,39,2022-03-08,1
Treinamento de equipe,Infraestrutura,Operações,5,893201.05,Baixa,2,Kanban,Alto,4,8,2023-01-10,1
Desenvolvimento de aplicativo móvel,Infraestrutura,Financeiro,18,296501.87,Média,1,XP,Baixo,2,16,2024-10-05,0
Campanha de marketing digital,Infraestrutura,Marketing,1,856941.01,Baixa,1,XP,Médio,7,17,2021-07-02,1
Treinamento de equipe,Construção,Financeiro,19,235054.09,Baixa,2,Kanban,Baixo,5,5,2021-04-23,0
Análise de dados financeiros,Infraestrutura,TI,23,442675.15,Média,1,Agile,Médio,9,35,2024-04-21,1
Desenvolvimento de aplicativo móvel,Pesquisa,Marketing,26,580346.65,Média,0,XP,Baixo,7,37,2022-04-26,1
Desenvolvimento de aplicativo móvel,Infraestrutura,Operações,29,728196.41,Média,1,XP,Baixo,9,18,2024-03-15,1
Pesquisa de satisfação do cliente,Marketing,Operações,34,78634.25,Média,1,Kanban,Médio,10,21,2023-04-11,0
Pesquisa de satisfação do cliente,Infraestrutura,Marketing,19,325983.94,Média,1,XP,Alto,10,1,2024-02-11,0
Migração de banco de dados,Software,Financeiro,18,628093.14,Média,2,Waterfall,Médio,5,17,2023-02-02,1
Análise de dados financeiros,Pesquisa,RH,2,389500.25,Alta,2,XP,Baixo,6,8,2022-04-21,0
Análise de dados financeiros,Pesquisa,Marketing,27,786273.8,Alta,2,Kanban,Alto,8,29,2023-02-02,1
Migração de banco de dados,Construção,Operações,6,669069.55,Média,2,XP,Baixo,10,20,2024-08-19,0
Análise de dados financeiros,Marketing,TI,6,272681.38,Média,1,XP,Alto,6,37,2023-08-29,0
Construção de dashboard de vendas,Pesquisa,Operações,6,188632.53,Média,1,Scrum,Baixo,4,39,2023-10-17,0
Integração de sistemas,Software,RH,31,647594.64,Baixa,1,Kanban,Médio,2,5,2024-02-16,1
Treinamento de equipe,Infraestrutura,Operações,30,477943.96,Baixa,2,Kanban,Baixo,6,10,2021-06-10,1
Pesquisa de satisfação do cliente,Pesquisa,RH,21,210509.19,Alta,1,Scrum,Médio,9,6,2022-02-05,0
Migração de banco de dados,Software,Marketing,18,360055.5,Alta,1,Scrum,Médio,8,7,2021-07-17,0
Migração de banco de dados,Infraestrutura,Operações,23,337894.41,Média,0,Waterfall,Médio,3,35,2024-07-07,0
Análise de dados financeiros,Construção,Financeiro,23,152725.37,Média,1,XP,Baixo,5,27,2022-10-22,0
Desenvolvimento de aplicativo móvel,Pesquisa,Financeiro,28,569563.57,Baixa,1,Agile,Alto,6,21,2023-12-07,1
Automatização de processos,Pesquisa,Operações,36,775466.2,Média,1,Agile,Alto,7,24,2022-02-03,1
Implementação de CRM,Software,Operações,25,596693.54,Média,2,Scrum,Médio,2,29,2021-03-19,1
Implementação de CRM,Marketing,TI,7,834976.8,Média,0,Kanban,Médio,6,27,2021-05-04,1
Migração de banco de dados,Construção,Operações,18,171190.12,Alta,2,Kanban,Médio,2,38,2021-03-16,0
Treinamento de equipe,Marketing,TI,20,463831.26,Baixa,0,Waterfall,Baixo,8,2,2021-05-17,0
Construção de dashboard de vendas,Pesquisa,TI,5,628944.35,Média,2,Agile,Alto,7,25,2022-08-25,0
Treinamento de equipe,Marketing,TI,18,692201.48,Média,1,Kanban,Baixo,2,2,2024-11-24,0
Migração de banco de dados,Infraestrutura,TI,33,710996.99,Alta,2,Waterfall,Médio,4,38,2023-04-17,1
Treinamento de equipe,Construção,Marketing,15,742517.16,Alta,0,Waterfall,Médio,7,18,2022-05-15,0
Pesquisa de satisfação do cliente,Marketing,Financeiro,35,668858.32,Média,1,Scrum,Médio,9,7,2021-05-18,1
Treinamento de equipe,Infraestrutura,TI,1,139516.68,Alta,2,Agile,Alto,3,4,2021-02-19,0
Análise de dados financeiros,Software,Financeiro,21,710540.39,Média,0,Waterfall,Baixo,10,40,2023-08-31,1
Análise de dados financeiros,Marketing,TI,8,738543.52,Baixa,0,Waterfall,Médio,10,10,2021-09-11,1
Construção de dashboard de vendas,Construção,Financeiro,7,993805.94,Média,1,Waterfall,Médio,8,28,2022-12-11,1
Pesquisa de satisfação do cliente,Infraestrutura,Operações,30,708694.31,Baixa,0,Agile,Baixo,9,30,2022-07-17,1
Automatização de processos,Marketing,Operações,35,702488.88,Média,0,Scrum,Médio,8,24,2023-01-27,1
Desenvolvimento de aplicativo móvel,Software,Financeiro,2,539072.63,Alta,1,XP,Alto,4,36,2024-12-20,0
Pesquisa de satisfação do cliente,Marketing,TI,8,874526.76,Média,1,Kanban,Baixo,4,16,2022-07-01,1
Campanha de marketing digital,Infraestrutura,Marketing,4,996993.02,Baixa,1,Agile,Médio,7,33,2024-08-18,1
Integração de sistemas,Marketing,Financeiro,21,790092.63,Baixa,2,Agile,Médio,4,10,2023-07-11,1
Migração de banco de dados,Construção,RH,13,631875.36,Baixa,1,Agile,Médio,10,21,2022-08-04,1
Campanha de marketing digital,Pesquisa,Marketing,9,125007.09,Baixa,0,XP,Alto,10,27,2024-10-04,0
Construção de dashboard de vendas,Infraestrutura,RH,29,740402.18,Baixa,1,Kanban,Baixo,7,21,2021-02-18,1
Campanha de marketing digital,Infraestrutura,Financeiro,24,723133.49,Média,1,Kanban,Médio,9,27,2023-07-06,1
Análise de dados financeiros,Infraestrutura,TI,16,786789.74,Média,1,Waterfall,Médio,9,32,2024-01-03,1
Treinamento de equipe,Infraestrutura,RH,12,168327.62,Média,1,Waterfall,Baixo,9,5,2022-12-05,0
Desenvolvimento de aplicativo móvel,Marketing,Financeiro,2,671045.88,Baixa,2,Scrum,Alto,10,35,2021-09-18,1
Implementação de CRM,Construção,Marketing,19,330937.71,Média,2,Agile,Baixo,10,22,2021-12-22,0
Migração de banco de dados,Software,TI,30,772257.68,Baixa,0,Scrum,Baixo,6,36,2024-07-07,1
Implementação de CRM,Construção,RH,16,278355.26,Baixa,1,Agile,Médio,1,10,2022-09-30,0
Treinamento de equipe,Infraestrutura,Financeiro,24,699779.74,Média,1,Kanban,Baixo,8,34,2023-01-13,1
Análise de dados financeiros,Marketing,TI,13,330243.3,Baixa,2,Scrum,Médio,6,6,2024-08-11,0
Análise de dados financeiros,Marketing,TI,5,58544.58,Média,2,Kanban,Alto,7,14,2023-10-07,0
Treinamento de equipe,Infraestrutura,Operações,23,651690.02,Alta,1,Waterfall,Baixo,2,37,2023-07-20,1
Migração de banco de dados,Marketing,TI,31,157605.63,Média,1,Kanban,Baixo,3,19,2022-10-03,0
Implementação de CRM,Infraestrutura,Financeiro,17,676326.9,Média,1,XP,Baixo,6,32,2023-03-03,1
Pesquisa de satisfação do cliente,Construção,Marketing,3,929328.98,Baixa,1,Scrum,Baixo,3,20,2024-08-29,1
Análise de dados financeiros,Pesquisa,Operações,26,970783.64,Alta,1,Agile,Baixo,5,21,2022-09-04,1
Implementação de CRM,Marketing,Financeiro,13,274126.93,Baixa,1,Kanban,Alto,4,15,2023-03-20,0
Automatização de processos,Infraestrutura,Financeiro,22,818790.57,Baixa,1,Scrum,Médio,5,17,2024-04-20,1
Implementação de CRM,Infraestrutura,Financeiro,21,385875.61,Baixa,1,Agile,Baixo,8,24,2022-11-17,1
Automatização de processos,Marketing,RH,29,905434.22,Média,1,Scrum,Alto,4,21,2024-10-19,1
Automatização de processos,Software,RH,5,798115.09,Média,2,Scrum,Baixo,9,15,2021-07-07,0
Análise de dados financeiros,Infraestrutura,Marketing,14,120225.63,Alta,1,XP,Médio,3,11,2023-09-12,0
Migração de banco de dados,Marketing,Financeiro,18,436780.14,Média,1,Kanban,Baixo,7,37,2022-07-02,0
Construção de dashboard de vendas,Infraestrutura,RH,4,370451.93,Média,2,XP,Baixo,7,30,2022-12-26,0
Análise de dados financeiros,Software,RH,33,795921.97,Média,1,Waterfall,Médio,1,18,2023-07-15,1
Migração de banco de dados,Pesquisa,RH,20,439771.43,Média,0,Scrum,Médio,3,28,2024-12-02,0
Migração de banco de dados,Software,Marketing,13,700358.98,Alta,0,Kanban,Médio,10,13,2023-05-26,0
Campanha de marketing digital,Construção,Marketing,36,622313.49,Média,1,Waterfall,Médio,1,10,2022-09-10,1
Treinamento de equipe,Marketing,Financeiro,4,976856.78,Média,0,Waterfall,Baixo,8,39,2022-02-18,1
Treinamento de equipe,Software,Operações,35,940895.71,Média,2,XP,Médio,10,12,2024-09-27,1
Treinamento de equipe,Pesquisa,Financeiro,8,456314.54,Média,1,Waterfall,Alto,5,38,2024-05-28,0
Integração de sistemas,Infraestrutura,RH,36,737399.3,Baixa,0,Agile,Baixo,4,40,2023-06-22,1
Análise de dados financeiros,Marketing,RH,6,837987.09,Baixa,2,Agile,Baixo,3,26,2021-06-12,1
Migração de banco de dados,Software,TI,22,903941.47,Média,1,Agile,Médio,7,19,2024-05-28,1
Campanha de marketing digital,Pesquisa,Financeiro,6,114727.55,Alta,1,Waterfall,Médio,8,23,2021-09-27,0
Automatização de processos,Software,RH,36,336974.86,Média,1,Scrum,Médio,8,36,2022-09-24,1
Construção de dashboard de vendas,Construção,RH,9,354218.54,Alta,0,Kanban,Médio,1,27,2023-06-25,0
Construção de dashboard de vendas,Marketing,Operações,16,462723.65,Baixa,1,Agile,Alto,7,16,2024-11-24,0
Automatização de processos,Infraestrutura,TI,33,210801.51,Média,2,Agile,Baixo,5,7,2024-04-20,0
Implementação de CRM,Pesquisa,Financeiro,18,521395.59,Média,0,Agile,Médio,2,13,2021-07-24,0
Implementação de CRM,Software,Marketing,12,680053.61,Alta,1,XP,Médio,8,12,2022-08-05,0
Treinamento de equipe,Marketing,Financeiro,27,522495.72,Baixa,2,XP,Médio,2,27,2023-04-21,1
Análise de dados financeiros,Software,Financeiro,1,682503.44,Média,1,Agile,Baixo,6,33,2024-06-05,0
Integração de sistemas,Marketing,Operações,15,113119.55,Baixa,1,Agile,Médio,5,31,2022-08-19,0
Campanha de marketing digital,Construção,Financeiro,27,882187.97,Média,2,XP,Médio,6,11,2021-09-07,1
Construção de dashboard de vendas,Software,Operações,16,942115.73,Alta,2,Kanban,Médio,10,17,2023-05-25,1
Treinamento de equipe,Construção,Operações,21,637012.05,Média,1,Scrum,Baixo,8,38,2021-07-15,1
Desenvolvimento de aplicativo móvel,Pesquisa,RH,1,887321.45,Alta,2,Kanban,Médio,9,2,2022-11-21,0
Treinamento de equipe,Construção,Marketing,29,174873.72,Alta,1,Scrum,Alto,3,3,2023-12-30,0
Desenvolvimento de aplicativo móvel,Marketing,Operações,3,807576.47,Baixa,2,Waterfall,Alto,3,34,2022-10-01,1
Pesquisa de satisfação do cliente,Pesquisa,TI,12,163190.78,Média,2,Waterfall,Médio,7,32,2024-11-23,0
Migração de banco de dados,Software,TI,28,437609.72,Baixa,1,Kanban,Médio,3,24,2022-11-03,1
Automatização de processos,Software,Marketing,31,357627.61,Baixa,1,XP,Baixo,10,24,2024-05-11,1
Migração de banco de dados,Marketing,Operações,31,606312.23,Média,1,Agile,Médio,5,13,2024-03-17,1
Treinamento de equipe,Infraestrutura,Marketing,33,336438.81,Média,2,Waterfall,Baixo,10,22,2023-08-02,1
Migração de banco de dados,Infraestrutura,RH,33,655447.95,Média,2,XP,Alto,4,19,2021-07-18,1
Campanha de marketing digital,Software,TI,11,399017.92,Baixa,0,XP,Baixo,9,30,2024-12-20,0
Pesquisa de satisfação do cliente,Marketing,Financeiro,29,867750.86,Alta,2,Scrum,Médio,8,39,2022-05-07,1
Integração de sistemas,Infraestrutura,TI,25,652189.65,Média,2,Waterfall,Alto,9,21,2023-06-15,1
Pesquisa de satisfação do cliente,Construção,Operações,13,254533.38,Baixa,2,Kanban,Alto,6,23,2021-05-22,1
Construção de dashboard de vendas,Software,Marketing,19,369322.95,Média,2,XP,Médio,2,16,2024-08-29,0
Campanha de marketing digital,Construção,TI,36,855049.84,Baixa,0,Kanban,Médio,8,7,2021-06-14,1
Migração de banco de dados,Marketing,Financeiro,28,417155.76,Média,1,Kanban,Médio,1,20,2021-11-10,0
Integração de sistemas,Construção,Financeiro,4,559009.11,Média,2,Waterfall,Baixo,5,14,2021-01-21,0
Migração de banco de dados,Infraestrutura,Marketing,3,666494.84,Média,2,Kanban,Baixo,2,26,2024-01-11,0
Análise de dados financeiros,Infraestrutura,Marketing,25,380419.17,Baixa,1,Kanban,Baixo,7,22,2024-02-29,0
Análise de dados financeiros,Pesquisa,TI,35,329279.7,Média,1,Agile,Baixo,5,36,2023-09-11,1
Implementação de CRM,Software,Operações,29,501492.16,Baixa,2,Kanban,Alto,10,26,2021-11-01,1
Pesquisa de satisfação do cliente,Marketing,RH,29,254136.92,Média,2,Agile,Baixo,3,12,2022-01-06,0
Integração de sistemas,Software,Financeiro,12,320000.06,Baixa,1,Waterfall,Médio,7,31,2023-05-03,0
Análise de dados financeiros,Construção,Marketing,35,108974.56,Média,0,Kanban,Baixo,3,40,2022-01-19,0
Implementação de CRM,Marketing,RH,20,338771.76,Baixa,2,XP,Alto,6,4,2022-03-21,0
Campanha de marketing digital,Marketing,RH,17,354668.89,Média,2,Kanban,Baixo,4,40,2022-03-01,0
Integração de sistemas,Infraestrutura,RH,12,963741.51,Média,2,Agile,Médio,10,27,2021-06-10,1
Implementação de CRM,Construção,Operações,36,610242.38,Baixa,2,XP,Médio,2,9,2024-04-16,1
Automatização de processos,Infraestrutura,Marketing,10,798013.3,Baixa,1,Waterfall,Alto,9,12,2022-09-21,1
Integração de sistemas,Infraestrutura,Financeiro,18,93108.39,Média,2,Scrum,Baixo,6,29,2023-06-14,0
Treinamento de equipe,Pesquisa,Marketing,30,151209.86,Baixa,2,Scrum,Alto,5,28,2022-05-05,1
Implementação de CRM,Infraestrutura,TI,8,823810.11,Média,1,Agile,Médio,5,16,2023-10-14,1
Migração de banco de dados,Software,Financeiro,13,642372.07,Média,2,Waterfall,Baixo,8,8,2021-11-23,0
Treinamento de equipe,Marketing,Marketing,31,231432.93,Média,2,Waterfall,Baixo,5,13,2022-08-21,0
Automatização de processos,Infraestrutura,Financeiro,6,434555.64,Alta,2,Kanban,Médio,8,14,2023-10-12,0
Análise de dados financeiros,Software,TI,7,561738.87,Média,1,Scrum,Baixo,8,15,2021-10-16,0
Desenvolvimento de aplicativo móvel,Construção,Financeiro,21,851429.34,Média,1,Kanban,Alto,1,9,2022-08-16,1
Implementação de CRM,Marketing,RH,28,107391.39,Média,1,Waterfall,Baixo,4,32,2022-07-27,0
Campanha de marketing digital,Construção,Operações,21,616886.17,Alta,1,Agile,Médio,9,22,2024-10-09,0
Implementação de CRM,Software,TI,21,731184.13,Baixa,1,Agile,Médio,2,25,2021-01-28,1
Desenvolvimento de aplicativo móvel,Construção,Financeiro,24,978997.27,Alta,1,XP,Médio,4,26,2023-08-12,1
Automatização de processos,Construção,TI,27,816802.07,Alta,1,Agile,Baixo,4,29,2021-02-12,1
Automatização de processos,Construção,RH,27,312415.95,Média,2,Scrum,Alto,1,18,2022-02-27,0
Treinamento de equipe,Infraestrutura,Operações,13,724100.23,Média,1,XP,Médio,10,36,2021-06-26,1
Integração de sistemas,Infraestrutura,TI,29,775113.99,Alta,1,Scrum,Médio,10,20,2022-06-13,1
Campanha de marketing digital,Infraestrutura,RH,28,743248.72,Média,1,Kanban,Médio,7,33,2023-08-24,1
Treinamento de equipe,Marketing,RH,29,829136.86,Média,0,Kanban,Médio,1,20,2021-07-17,1
Campanha de marketing digital,Software,RH,22,908543.48,Média,2,Agile,Alto,5,3,2022-09-02,1
Campanha de marketing digital,Infraestrutura,Financeiro,36,143508.38,Média,1,XP,Alto,8,34,2023-04-22,0
Desenvolvimento de aplicativo móvel,Construção,Marketing,30,149525.66,Baixa,1,Scrum,Baixo,4,6,2023-05-03,0
Treinamento de equipe,Construção,TI,28,806579.99,Média,1,Scrum,Baixo,5,31,2021-01-22,1
Campanha de marketing digital,Construção,Marketing,23,289753.85,Média,1,Waterfall,Alto,10,35,2024-02-10,0
Construção de dashboard de vendas,Construção,RH,33,105614.35,Alta,1,Agile,Baixo,3,32,2023-12-17,0
Desenvolvimento de aplicativo móvel,Pesquisa,Marketing,4,431167.72,Média,0,Kanban,Alto,5,9,2023-12-26,0
Automatização de processos,Marketing,RH,3,828883.07,Alta,1,Waterfall,Médio,3,27,2023-04-22,0
Desenvolvimento de aplicativo móvel,Software,RH,32,170236.77,Média,1,Kanban,Baixo,4,24,2021-04-08,0
Migração de banco de dados,Software,Operações,4,688249.87,Média,2,Kanban,Baixo,3,22,2024-03-13,0
Migração de banco de dados,Infraestrutura,Operações,1,53435.07,Baixa,1,Scrum,Médio,5,30,2022-03-11,0
Campanha de marketing digital,Pesquisa,Marketing,12,154250.57,Média,1,Kanban,Alto,2,36,2022-09-29,0
Treinamento de equipe,Software,TI,13,383307.83,Alta,0,XP,Baixo,9,26,2024-01-15,0
Automatização de processos,Marketing,Marketing,34,129422.17,Baixa,1,Kanban,Baixo,3,2,2022-08-11,0
Desenvolvimento de aplicativo móvel,Construção,TI,29,853606.58,Alta,1,XP,Alto,10,7,2021-12-10,1
Treinamento de equipe,Infraestrutura,Marketing,9,870866.98,Baixa,0,Kanban,Baixo,1,27,2024-08-10,1
Desenvolvimento de aplicativo móvel,Marketing,Financeiro,31,767792.17,Baixa,1,Waterfall,Médio,5,16,2022-07-25,1
Desenvolvimento de aplicativo móvel,Software,Financeiro,7,280355.65,Baixa,1,Scrum,Médio,4,29,2022-09-03,0
Construção de dashboard de vendas,Pesquisa,TI,13,547084.72,Média,1,Waterfall,Baixo,2,21,2021-08-31,0
Migração de banco de dados,Infraestrutura,Operações,2,224979.1,Baixa,1,Scrum,Baixo,8,26,2022-07-15,0
Desenvolvimento de aplicativo móvel,Software,TI,33,317214.53,Média,2,Waterfall,Baixo,9,18,2023-08-18,0
Construção de dashboard de vendas,Infraestrutura,Marketing,7,540205.03,Média,1,Agile,Baixo,6,1,2021-02-01,0
Migração de banco de dados,Software,RH,18,748263.12,Média,1,Kanban,Médio,8,2,2022-01-26,0
Construção de dashboard de vendas,Construção,Financeiro,8,139921.66,Média,2,Kanban,Médio,2,14,2021-10-04,0
Treinamento de equipe,Pesquisa,RH,12,331861.86,Média,1,Agile,Médio,6,38,2022-06-16,0
Integração de sistemas,Construção,Financeiro,30,930290.28,Alta,1,Agile,Médio,1,15,2024-03-23,1
Migração de banco de dados,Software,Marketing,9,457667.15,Média,1,XP,Baixo,10,36,2022-01-18,0
Análise de dados financeiros,Marketing,Financeiro,28,941926.19,Baixa,0,Waterfall,Baixo,3,24,2023-12-28,1
Integração de sistemas,Construção,TI,4,991830.51,Média,1,Kanban,Baixo,7,25,2023-06-03,1
Treinamento de equipe,Marketing,RH,17,550326.83,Média,2,XP,Médio,1,9,2021-08-02,0
Desenvolvimento de aplicativo móvel,Software,RH,11,323641.81,Média,1,Kanban,Alto,6,15,2022-01-11,0
Automatização de processos,Pesquisa,Marketing,2,801237.97,Alta,1,Agile,Baixo,7,37,2023-01-14,0
Treinamento de equipe,Marketing,RH,23,201345.2,Alta,1,XP,Médio,3,6,2021-08-01,0
Construção de dashboard de vendas,Software,Marketing,22,289444.52,Baixa,1,XP,Médio,8,12,2021-03-20,0
Construção de dashboard de vendas,Marketing,Operações,26,795635.91,Média,1,XP,Médio,8,27,2022-09-20,1
Construção de dashboard de vendas,Construção,TI,12,461963.63,Média,1,Waterfall,Alto,5,7,2022-08-27,0
Construção de dashboard de vendas,Software,Financeiro,32,241461.04,Alta,1,XP,Baixo,2,28,2023-02-21,0
Treinamento de equipe,Construção,Financeiro,9,668569.46,Média,1,Kanban,Baixo,2,12,2024-11-05,0
Automatização de processos,Infraestrutura,Financeiro,5,746123.77,Média,2,Waterfall,Baixo,5,35,2023-09-28,1
